brand,store,fb_link,g_link
michael hill,Penrith,https://www.facebook.com/pages/Michael-Hill/1561104347552575,"https://www.google.com.au/search?source=hp&ei=sHHLXYSnHvngz7sPoYWSoAY&q=michael+hill+Penrith&oq=michael+hill+Penrith&gs_l=psy-ab.3...73.164..180...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiEv438mOblAhV58HMBHaGCBGQQ4dUDCAY&uact=5#lrd=0x6b12858c11e2456d:0x6b9b9efa59575c3d,1,,,"
michael hill,Blacktown,https://www.facebook.com/MichaelHillBlacktown/,"https://www.google.com.au/search?source=hp&ei=s3HLXbzNMYjWz7sPqZyh-AI&q=michael+hill+Blacktown&oq=michael+hill+Blacktown&gs_l=psy-ab.3...106.215..228...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwj88tf9mOblAhUI63MBHSlOCC8Q4dUDCAY&uact=5#lrd=0x6b12990071555555:0xab4577105a61903f,1,,,"
michael hill,Campbelltown,https://www.facebook.com/MichaelHillCampbelltown/,
michael hill,Mt Druitt,https://www.facebook.com/pages/Micheal-Hill-Jeweler/141786932578780,"https://www.google.com.au/search?source=hp&ei=uHHLXezrJ4rXz7sPxOuv4AQ&q=michael+hill+Mt+Druitt&oq=michael+hill+Mt+Druitt&gs_l=psy-ab.3...91.225..247...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjsp___mOblAhWK63MBHcT1C0wQ4dUDCAY&uact=5#lrd=0x6b129a5c98376b79:0xced131e48c704165,1,,,"
michael hill,Wetherill Park,https://www.facebook.com/MichaelHillWetherillPark/?rf=627722914043755,"https://www.google.com.au/search?source=hp&ei=u3HLXf3aJObC3LUPxtG4IA&q=michael+hill+Wetherill+Park&oq=michael+hill+Wetherill+Park&gs_l=psy-ab.3...124.220..233...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi9pLOBmeblAhVmIbcAHcYoDgQQ4dUDCAY&uact=5#lrd=0x6b1296fa926ea1a1:0x587e107e56f07b66,1,,,"
michael hill,Rouse Hill,https://en-gb.facebook.com/pages/category/Jewelry---Watches-Store/MichaelHillRouseHill/about/,"https://www.google.com.au/search?source=hp&ei=vnHLXaOsEcDC3LUPuNSQqAU&q=michael+hill+Rouse+Hill&oq=michael+hill+Rouse+Hill&gs_l=psy-ab.3...120.264..285...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwijg9eCmeblAhVAIbcAHTgqBFUQ4dUDCAY&uact=5#lrd=0x6b129fa5ea0fcf95:0x517fa0d54b0400a0,1,,,"
michael hill,Bathurst,https://www.facebook.com/MichaelHillBathurstMarketplace/?rf=175915282465562,"https://www.google.com.au/search?source=hp&ei=wXHLXcfpHN_Ez7sP99eD2AI&q=michael+hill+Bathurst&oq=michael+hill+Bathurst&gs_l=psy-ab.3...93.184..195...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiHzpmEmeblAhVf4nMBHffrACsQ4dUDCAY&uact=5#lrd=0x6b11e43443334241:0x1f6c76f572dd6835,1,,,"
michael hill,Grand Central,https://www.facebook.com/MichaelHillJ/about/,"https://www.google.com.au/search?source=hp&ei=xHHLXd2KK9_D3LUP5KS4mAo&q=michael+hill+Grand+Central&oq=michael+hill+Grand+Central&gs_l=psy-ab.3...82.198..209...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjd_N6FmeblAhXfIbcAHWQSDqMQ4dUDCAY&uact=5#lrd=0x6b965c68fba42bd3:0x27f9a5d305f87cb6,1,,,"
michael hill,Loganholme,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jewellers-Charm-Boutique-1004864606264889/,"https://www.google.com.au/search?source=hp&ei=x3HLXYGiNt3iz7sP6cyxuA8&q=michael+hill+Loganholme&oq=michael+hill+Loganholme&gs_l=psy-ab.3...136.355..370...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjBoaGHmeblAhVd8XMBHWlmDPcQ4dUDCAY&uact=5#lrd=0x6b914224400ec021:0x7e2808e2ee52a87a,1,,,"
michael hill,Clifford Gardens,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jeweller-598595286963400/,"https://www.google.com.au/search?source=hp&ei=ynHLXbrPNI7hz7sPtZmCiA0&q=michael+hill+Clifford+Gardens&oq=michael+hill+Clifford+Gardens&gs_l=psy-ab.3...72.208..217...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi63NaImeblAhWO8HMBHbWMANEQ4dUDCAY&uact=5#lrd=0x6b965c87fc8848e3:0x6b6d3c0a54f7bf5a,1,,,"
